ntasks,Genoa,Milan
16,1.3007,5.98302
32,0.71565,2.67424
48,0.47323,1.21621
64,0.353433,1.11912
80,0.279094,0.70517
96,0.223715,0.767092
112,0.189349,0.542221
128,0.159648,0.559404
